experiment,domain,examples,Recall@1,NDCG@1,Recall@5,NDCG@5,Recall@10,NDCG@10,Recall@20,NDCG@20,Recall@50,NDCG@50
Beauty+Electronic+Phone,Beauty,20000,0.0486,0.0486,0.1863,0.11771628602156052,0.29195,0.15170190406611045,0.4564,0.19293747523034205,0.82245,0.2651802005202972
Beauty+Electronic+Phone,Electronic,20000,0.04345,0.04345,0.174,0.10814087473307811,0.2965,0.1474332681174353,0.4823,0.19403334229309221,0.8133,0.25972413831612634
Beauty+Electronic+Phone,Phone,20000,0.0207,0.0207,0.1062,0.06191321093348506,0.22225,0.09884645860596654,0.46065,0.15851216843782104,0.8491,0.23592777185471833
Electronic+Phone,Electronic,20000,0.0592,0.0592,0.2152,0.1374731959978716,0.34935,0.1805295010466646,0.53685,0.22772582466100016,0.8329,0.2865144479525594
Electronic+Phone,Phone,20000,0.0324,0.0324,0.16235,0.09588894106464337,0.31665,0.14535658061217605,0.53605,0.20052302616902917,0.8584,0.26473394341855305
